email,street,city,order_date,delivery_date,status,total_item,total_display_price,total_warehouse_price,total_discounted_price,is_active,order_created_at,order_updated_at,order_deleted_at
"userdefault@gmail.com","24 Đoàn Phú Tứ, Liên Chiểu","Đà Nẵng","2024-01-01","2024-01-08","ORDER-DELIVERED",2,1000000,800000,900000,false,"2024-01-01","2024-01-01","2024-01-01"
"userdefault@gmail.com","24 Đoàn Phú Tứ, Liên Chiểu","Đà Nẵng","2024-01-02","2024-01-09","ORDER-DELIVERED",3,1500000,1200000,1350000,false,"2024-01-02","2024-01-02","2024-01-02"
"userdefault@gmail.com","24 Đoàn Phú Tứ, Liên Chiểu","Đà Nẵng","2024-01-03","2024-01-10","ORDER-DELIVERED",4,2000000,1600000,1800000,false,"2024-01-03","2024-01-03","2024-01-03"
"userdefault@gmail.com","24 Đoàn Phú Tứ, Liên Chiểu","Đà Nẵng","2024-01-04","2024-01-11","ORDER-DELIVERED",5,2500000,2000000,2250000,false,"2024-01-04","2024-01-04","2024-01-04"
"userdefault@gmail.com","24 Đoàn Phú Tứ, Liên Chiểu","Đà Nẵng","2024-01-05","2024-01-12","ORDER-DELIVERED",6,3000000,2400000,2700000,false,"2024-01-05","2024-01-05","2024-01-05"
"userdefault@gmail.com","24 Đoàn Phú Tứ, Liên Chiểu","Đà Nẵng","2024-01-06","2024-01-13","ORDER-DELIVERED",7,3500000,2800000,3150000,false,"2024-01-06","2024-01-06","2024-01-06"
"userdefault@gmail.com","24 Đoàn Phú Tứ, Liên Chiểu","Đà Nẵng","2024-01-07","2024-01-14","ORDER-DELIVERED",3,1500000,1200000,1350000,false,"2024-01-07","2024-01-07","2024-01-07"
"userdefault@gmail.com","24 Đoàn Phú Tứ, Liên Chiểu","Đà Nẵng","2024-01-08","2024-01-15","ORDER-DELIVERED",4,2000000,1600000,1800000,false,"2024-01-08","2024-01-08","2024-01-08"
"userdefault@gmail.com","24 Đoàn Phú Tứ, Liên Chiểu","Đà Nẵng","2024-01-09","2024-01-16","ORDER-DELIVERED",5,2500000,2000000,2250000,false,"2024-01-09","2024-01-09","2024-01-09"
"userdefault@gmail.com","24 Đoàn Phú Tứ, Liên Chiểu","Đà Nẵng","2024-01-10","2024-01-17","ORDER-DELIVERED",2,1000000,800000,900000,false,"2024-01-10","2024-01-10","2024-01-10"
"userdefault@gmail.com","24 Đoàn Phú Tứ, Liên Chiểu","Đà Nẵng","2024-01-11","2024-01-18","ORDER-DELIVERED",3,1500000,1200000,1350000,false,"2024-01-11","2024-01-11","2024-01-11"
"userdefault@gmail.com","24 Đoàn Phú Tứ, Liên Chiểu","Đà Nẵng","2024-01-12","2024-01-19","ORDER-DELIVERED",7,3500000,2800000,3150000,false,"2024-01-12","2024-01-12","2024-01-12"
"userdefault@gmail.com","24 Đoàn Phú Tứ, Liên Chiểu","Đà Nẵng","2024-01-13","2024-01-20","ORDER-DELIVERED",6,3000000,2400000,2700000,false,"2024-01-13","2024-01-13","2024-01-13"
"userdefault@gmail.com","24 Đoàn Phú Tứ, Liên Chiểu","Đà Nẵng","2024-01-14","2024-01-21","ORDER-DELIVERED",1,500000,400000,450000,false,"2024-01-14","2024-01-14","2024-01-14"
