email,ward,district,province,order_date,delivery_date,status,total_item,total_display_price,total_warehouse_price,total_discounted_price,is_active,order_created_at,order_updated_at,order_deleted_at
userdefault@gmail.com,Điện Biên Phủ,Thanh Khê,Đà Nẵng,2024-06-19 07:11:48,2024-06-24 07:11:48,ORDER-DELIVERED,9,30109000,12674000,29004000,True,2024-06-19 00:00:00,2024-06-19 00:00:00,2024-06-19 00:00:00
userdefault@gmail.com,Điện Biên Phủ,Thanh Khê,Đà Nẵng,2024-06-19 07:11:48,2024-06-24 07:11:48,ORDER-DELIVERED,9,30109000,12674000,29004000,True,2024-06-19 00:00:00,2024-06-19 00:00:00,2024-06-19 00:00:00
userdefault@gmail.com,Trưng Nữ Vương,Hải Châu,Đà Nẵng,2024-04-25 09:51:20,2024-05-01 09:51:20,ORDER-DELIVERED,8,16031000,9657000,12795000,True,2024-04-25 00:00:00,2024-04-25 00:00:00,2024-04-25 00:00:00
userdefault@gmail.com,Trưng Nữ Vương,Hải Châu,Đà Nẵng,2024-04-25 12:07:04,2024-04-27 12:07:04,ORDER-DELIVERED,1,34096000,8756000,23220000,True,2024-04-25 00:00:00,2024-04-25 00:00:00,2024-04-25 00:00:00
userdefault@gmail.com,Trưng Nữ Vương,Hải Châu,Đà Nẵng,2024-04-25 12:07:04,2024-04-27 12:07:04,ORDER-DELIVERED,1,34096000,8756000,23220000,True,2024-04-25 00:00:00,2024-04-25 00:00:00,2024-04-25 00:00:00
userdefault@gmail.com,Trưng Nữ Vương,Hải Châu,Đà Nẵng,2024-04-25 12:07:04,2024-04-27 12:07:04,ORDER-DELIVERED,1,34096000,8756000,23220000,True,2024-04-25 00:00:00,2024-04-25 00:00:00,2024-04-25 00:00:00
userdefault@gmail.com,Trưng Nữ Vương,Hải Châu,Đà Nẵng,2024-04-25 12:07:04,2024-04-27 12:07:04,ORDER-DELIVERED,1,34096000,8756000,23220000,True,2024-04-25 00:00:00,2024-04-25 00:00:00,2024-04-25 00:00:00
userdefault@gmail.com,Trưng Nữ Vương,Hải Châu,Đà Nẵng,2024-04-25 12:07:04,2024-04-27 12:07:04,ORDER-DELIVERED,1,34096000,8756000,23220000,True,2024-04-25 00:00:00,2024-04-25 00:00:00,2024-04-25 00:00:00
userdefault@gmail.com,Trưng Nữ Vương,Hải Châu,Đà Nẵng,2024-04-25 12:07:04,2024-04-27 12:07:04,ORDER-DELIVERED,1,34096000,8756000,23220000,True,2024-04-25 00:00:00,2024-04-25 00:00:00,2024-04-25 00:00:00
userdefault@gmail.com,Trưng Nữ Vương,Hải Châu,Đà Nẵng,2024-04-25 12:07:04,2024-04-27 12:07:04,ORDER-DELIVERED,1,34096000,8756000,23220000,True,2024-04-25 00:00:00,2024-04-25 00:00:00,2024-04-25 00:00:00
userdefault@gmail.com,Trưng Nữ Vương,Hải Châu,Đà Nẵng,2024-04-27 18:18:33,2024-05-04 18:18:33,ORDER-DELIVERED,6,45253000,26455000,33605000,True,2024-04-27 00:00:00,2024-04-27 00:00:00,2024-04-27 00:00:00
userdefault@gmail.com,Trưng Nữ Vương,Hải Châu,Đà Nẵng,2024-04-27 18:34:07,2024-05-04 18:34:07,ORDER-DELIVERED,1,44543000,9872000,29577000,True,2024-04-27 00:00:00,2024-04-27 00:00:00,2024-04-27 00:00:00
userdefault@gmail.com,Trưng Nữ Vương,Hải Châu,Đà Nẵng,2024-04-27 18:34:07,2024-05-04 18:34:07,ORDER-DELIVERED,1,44543000,9872000,29577000,True,2024-04-27 00:00:00,2024-04-27 00:00:00,2024-04-27 00:00:00
